a_novel_but_fits,b_foreign_pressure,c_wake_pull,d_belief_tension,threshold,train_accuracy,test_accuracy
1.0,2.0,2.0,0.0,2.065707085482992,0.795269538771766,0.7925771248166654
1.0,2.0,1.0,0.0,1.1814190244909797,0.7953273885771427,0.792166952544311
1.0,1.0,2.0,0.0,2.1436699821252985,0.7944513772385808,0.7916200561811718
1.0,2.0,0.0,0.0,0.33519537004431066,0.788715982248374,0.7857782086658215
1.0,1.0,1.0,0.0,1.294813920989824,0.7880300488417643,0.7854426131702588
2.0,2.0,2.0,0.0,2.589627841979648,0.7880300488417643,0.7854426131702588
1.0,2.0,2.0,1.0,2.058021976478561,0.7868482599604969,0.7852188828398836
1.0,0.0,2.0,0.0,2.248827540659133,0.7873110584035107,0.7847341337907375
1.0,1.0,2.0,1.0,2.121510702762981,0.784707817161558,0.7825589778009795
1.0,2.0,1.0,1.0,1.158336108714019,0.7847326099352908,0.7821860939170209
2.0,1.0,2.0,0.0,2.6955628452773044,0.781955819277208,0.7795510478037139
2.0,2.0,1.0,0.0,1.741503625277277,0.7819723477930299,0.7794143237129292
2.0,2.0,2.0,1.0,2.5578343305023044,0.7815095493500162,0.7789544335893802
1.0,2.0,2.0,2.0,2.0421925633660973,0.7800302471839541,0.7778979292514977
1.0,1.0,2.0,2.0,2.111950031479663,0.7770220573043644,0.7746538394610585
1.0,0.0,2.0,1.0,2.2409377021331744,0.7766419014404602,0.7746538394610585
1.0,2.0,1.0,2.0,1.1562282255254361,0.7764270307347751,0.7743306734282944
1.0,1.0,1.0,1.0,1.2848003473133383,0.7761129889341587,0.7739080716931415
2.0,2.0,2.0,2.0,2.5696006946266765,0.7761129889341587,0.7739080716931415
2.0,1.0,2.0,1.0,2.6998552059137504,0.7750303711478228,0.7735227583463843
