model,flow,mean_composite,mean_witness_conversion,mean_stability_success,mean_overload_rate,mean_density_gap
accumulate_immediate,golden,0.4330404145440047,0.330316535778845,0.0,0.0,-0.021692062905998788
accumulate_immediate,silver,0.43722856813913286,0.33893021342876284,0.0,0.0,-0.016551314760173685
accumulate_immediate,bounded_cf_2,0.4469304333416292,0.37751472914785195,0.0,0.0,0.02057065484475562
accumulate_immediate,random_cf_1,0.4312495789613595,0.3609620227255329,0.0,0.0,-0.015260611791347245
accumulate_immediate,fib_13_21,0.42420388000673276,0.3402383555103269,0.0,0.0,-0.02726672525348034
accumulate_immediate,pi_mod1,0.4292363442991363,0.3600021794526763,0.0,0.0,-0.034395550063241076
stabilize_then_accumulate,golden,0.33553795143674037,0.0059031366287191685,0.015873015873015872,0.0,-0.11264453117526374
stabilize_then_accumulate,silver,0.3645690488041953,0.05437464233382608,0.0873015873015873,0.0,-0.08186782990823271
stabilize_then_accumulate,bounded_cf_2,0.32992617383680367,0.0,0.0,0.0,-0.03193336605846292
stabilize_then_accumulate,random_cf_1,0.3212192319395819,0.0,0.0,0.0,-0.01708400159586726
stabilize_then_accumulate,fib_13_21,0.3171611146946901,0.00896083887071655,0.015873015873015872,0.0,-0.1121294605113185
stabilize_then_accumulate,pi_mod1,0.31840066479285056,0.0,0.0,0.0,-0.04377495669035736
