anchor,window_size,phase,length,memory_capacity,best_offset,best_tradeoff,band_low_offset,band_high_offset,band_width,band_count
golden,0.2,0.0,5000,50,-0.01999999999999995,0.6269199260136243,-0.01999999999999995,-0.01999999999999995,0.0,1
golden,0.2,0.0,5000,100,-0.01999999999999995,0.6101199260136244,-0.027999999999999955,-0.01999999999999995,0.008000000000000007,2
golden,0.2,0.0,5000,400,-0.01999999999999995,0.5975199260136244,-0.027999999999999955,-0.01999999999999995,0.008000000000000007,2
golden,0.2,0.17,5000,50,-0.01999999999999995,0.6269199260136243,-0.01999999999999995,-0.01999999999999995,0.0,1
golden,0.2,0.17,5000,100,-0.01999999999999995,0.6101199260136244,-0.027999999999999955,-0.01999999999999995,0.008000000000000007,2
golden,0.2,0.17,5000,400,-0.01999999999999995,0.5975199260136244,-0.027999999999999955,-0.01999999999999995,0.008000000000000007,2
golden,0.382,0.0,5000,50,-0.01999999999999995,0.6261908587582835,-0.01999999999999995,-0.01999999999999995,0.0,1
golden,0.382,0.0,5000,100,-0.01999999999999995,0.6121908587582835,-0.01999999999999995,-0.01999999999999995,0.0,1
golden,0.382,0.0,5000,400,-0.01999999999999995,0.6016908587582834,-0.01999999999999995,-0.01999999999999995,0.0,1
golden,0.382,0.17,5000,50,-0.01999999999999995,0.6261908587582835,-0.01999999999999995,-0.01999999999999995,0.0,1
golden,0.382,0.17,5000,100,-0.01999999999999995,0.6121908587582835,-0.01999999999999995,-0.01999999999999995,0.0,1
golden,0.382,0.17,5000,400,-0.01999999999999995,0.6016908587582834,-0.01999999999999995,-0.01999999999999995,0.0,1
golden,0.618,0.0,5000,50,-0.01999999999999995,0.62728352820371,-0.01999999999999995,-0.01999999999999995,0.0,1
golden,0.618,0.0,5000,100,-0.01999999999999995,0.61328352820371,-0.01999999999999995,-0.01999999999999995,0.0,1
golden,0.618,0.0,5000,400,-0.01999999999999995,0.60278352820371,-0.01999999999999995,-0.01999999999999995,0.0,1
golden,0.618,0.17,5000,50,-0.01999999999999995,0.62728352820371,-0.01999999999999995,-0.01999999999999995,0.0,1
golden,0.618,0.17,5000,100,-0.01999999999999995,0.61328352820371,-0.01999999999999995,-0.01999999999999995,0.0,1
golden,0.618,0.17,5000,400,-0.01999999999999995,0.60278352820371,-0.01999999999999995,-0.01999999999999995,0.0,1
silver,0.2,0.0,5000,50,-0.011999999999999941,0.6255499917786546,-0.01999999999999995,-0.011999999999999941,0.008000000000000007,2
silver,0.2,0.0,5000,100,-0.011999999999999941,0.6087499917786546,-0.01999999999999995,-0.011999999999999941,0.008000000000000007,2
silver,0.2,0.0,5000,400,-0.011999999999999941,0.5961499917786546,-0.01999999999999995,-0.011999999999999941,0.008000000000000007,2
silver,0.2,0.17,5000,50,-0.011999999999999941,0.6255499917786546,-0.01999999999999995,-0.011999999999999941,0.008000000000000007,2
silver,0.2,0.17,5000,100,-0.011999999999999941,0.6087499917786546,-0.01999999999999995,-0.011999999999999941,0.008000000000000007,2
silver,0.2,0.17,5000,400,-0.011999999999999941,0.5961499917786546,-0.01999999999999995,-0.011999999999999941,0.008000000000000007,2
silver,0.382,0.0,5000,50,-0.011999999999999941,0.6312929336316631,-0.011999999999999941,-0.011999999999999941,0.0,1
silver,0.382,0.0,5000,100,-0.011999999999999941,0.615892933631663,-0.011999999999999941,-0.011999999999999941,0.0,1
silver,0.382,0.0,5000,400,-0.011999999999999941,0.6043429336316631,-0.011999999999999941,-0.011999999999999941,0.0,1
silver,0.382,0.17,5000,50,-0.011999999999999941,0.6312929336316631,-0.011999999999999941,-0.011999999999999941,0.0,1
silver,0.382,0.17,5000,100,-0.011999999999999941,0.615892933631663,-0.011999999999999941,-0.011999999999999941,0.0,1
silver,0.382,0.17,5000,400,-0.011999999999999941,0.6043429336316631,-0.011999999999999941,-0.011999999999999941,0.0,1
silver,0.618,0.0,5000,50,-0.011999999999999941,0.6242752411543717,-0.011999999999999941,-0.011999999999999941,0.0,1
silver,0.618,0.0,5000,100,-0.011999999999999941,0.6088752411543716,-0.011999999999999941,-0.011999999999999941,0.0,1
silver,0.618,0.0,5000,400,-0.011999999999999941,0.5973252411543716,-0.011999999999999941,-0.011999999999999941,0.0,1
silver,0.618,0.17,5000,50,-0.011999999999999941,0.6242752411543717,-0.011999999999999941,-0.011999999999999941,0.0,1
silver,0.618,0.17,5000,100,-0.011999999999999941,0.6088752411543716,-0.011999999999999941,-0.011999999999999941,0.0,1
silver,0.618,0.17,5000,400,-0.011999999999999941,0.5973252411543716,-0.011999999999999941,-0.011999999999999941,0.0,1
bronze,0.2,0.0,5000,50,-0.059999999999999984,0.6323731148289503,-0.059999999999999984,-0.04399999999999997,0.016000000000000014,3
bronze,0.2,0.0,5000,100,-0.059999999999999984,0.6208231148289503,-0.059999999999999984,-0.04399999999999997,0.016000000000000014,3
bronze,0.2,0.0,5000,400,-0.059999999999999984,0.6121606148289502,-0.059999999999999984,-0.04399999999999997,0.016000000000000014,3
bronze,0.2,0.17,5000,50,-0.059999999999999984,0.6323731148289503,-0.059999999999999984,-0.04399999999999997,0.016000000000000014,3
bronze,0.2,0.17,5000,100,-0.059999999999999984,0.6208231148289503,-0.059999999999999984,-0.04399999999999997,0.016000000000000014,3
bronze,0.2,0.17,5000,400,-0.059999999999999984,0.6121606148289502,-0.059999999999999984,-0.04399999999999997,0.016000000000000014,3
bronze,0.382,0.0,5000,50,-0.04799999999999997,0.6454944799795541,-0.04799999999999997,-0.04799999999999997,0.0,1
bronze,0.382,0.0,5000,100,-0.04799999999999997,0.6293944799795541,-0.04799999999999997,-0.04799999999999997,0.0,1
bronze,0.382,0.0,5000,400,-0.04799999999999997,0.617319479979554,-0.04799999999999997,-0.04799999999999997,0.0,1
bronze,0.382,0.17,5000,50,-0.04799999999999997,0.6454944799795541,-0.04799999999999997,-0.04799999999999997,0.0,1
bronze,0.382,0.17,5000,100,-0.04799999999999997,0.6293944799795541,-0.04799999999999997,-0.04799999999999997,0.0,1
bronze,0.382,0.17,5000,400,-0.04799999999999997,0.617319479979554,-0.04799999999999997,-0.04799999999999997,0.0,1
bronze,0.618,0.0,5000,50,-0.04799999999999997,0.6403104449112033,-0.04799999999999997,-0.04799999999999997,0.0,1
bronze,0.618,0.0,5000,100,-0.04799999999999997,0.6242104449112033,-0.04799999999999997,-0.04799999999999997,0.0,1
bronze,0.618,0.0,5000,400,-0.04799999999999997,0.6121354449112033,-0.04799999999999997,-0.04799999999999997,0.0,1
bronze,0.618,0.17,5000,50,-0.04799999999999997,0.6403104449112033,-0.04799999999999997,-0.04799999999999997,0.0,1
bronze,0.618,0.17,5000,100,-0.04799999999999997,0.6242104449112033,-0.04799999999999997,-0.04799999999999997,0.0,1
bronze,0.618,0.17,5000,400,-0.04799999999999997,0.6121354449112033,-0.04799999999999997,-0.04799999999999997,0.0,1
bounded_probe,0.2,0.0,5000,50,0.04400000000000011,0.6287891002523894,0.0320000000000001,0.04400000000000011,0.01200000000000001,3
bounded_probe,0.2,0.0,5000,100,0.04400000000000011,0.6137391002523894,0.0320000000000001,0.04400000000000011,0.01200000000000001,3
bounded_probe,0.2,0.0,5000,400,0.04400000000000011,0.6024516002523894,0.0320000000000001,0.04400000000000011,0.01200000000000001,3
bounded_probe,0.2,0.17,5000,50,0.04400000000000011,0.6287891002523894,0.0320000000000001,0.04400000000000011,0.01200000000000001,3
bounded_probe,0.2,0.17,5000,100,0.04400000000000011,0.6137391002523894,0.0320000000000001,0.04400000000000011,0.01200000000000001,3
bounded_probe,0.2,0.17,5000,400,0.04400000000000011,0.6024516002523894,0.0320000000000001,0.04400000000000011,0.01200000000000001,3
bounded_probe,0.382,0.0,5000,50,0.04400000000000011,0.6302735313350899,0.0320000000000001,0.04400000000000011,0.01200000000000001,3
bounded_probe,0.382,0.0,5000,100,0.04400000000000011,0.61417353133509,0.0320000000000001,0.04400000000000011,0.01200000000000001,3
bounded_probe,0.382,0.0,5000,400,0.04400000000000011,0.60209853133509,0.0320000000000001,0.04400000000000011,0.01200000000000001,3
bounded_probe,0.382,0.17,5000,50,0.04400000000000011,0.6302735313350899,0.0320000000000001,0.04400000000000011,0.01200000000000001,3
bounded_probe,0.382,0.17,5000,100,0.04400000000000011,0.61417353133509,0.0320000000000001,0.04400000000000011,0.01200000000000001,3
bounded_probe,0.382,0.17,5000,400,0.04400000000000011,0.60209853133509,0.0320000000000001,0.04400000000000011,0.01200000000000001,3
bounded_probe,0.618,0.0,5000,50,0.04400000000000011,0.6229060465710229,0.0320000000000001,0.04400000000000011,0.01200000000000001,3
bounded_probe,0.618,0.0,5000,100,0.04400000000000011,0.6068060465710229,0.0320000000000001,0.04400000000000011,0.01200000000000001,3
bounded_probe,0.618,0.0,5000,400,0.0320000000000001,0.5955275842818185,0.0320000000000001,0.04400000000000011,0.01200000000000001,3
bounded_probe,0.618,0.17,5000,50,0.04400000000000011,0.6229060465710229,0.0320000000000001,0.04400000000000011,0.01200000000000001,3
bounded_probe,0.618,0.17,5000,100,0.04400000000000011,0.6068060465710229,0.0320000000000001,0.04400000000000011,0.01200000000000001,3
bounded_probe,0.618,0.17,5000,400,0.0320000000000001,0.5955275842818185,0.0320000000000001,0.04400000000000011,0.01200000000000001,3
